accx, accy, accz, magx, magy, magz, roll, pitch, yaw
-0.312930, 0.022509, 0.956480, -0.306740, 0.302400, -0.641480, 0.023529, 0.316110, -0.857973
-0.323971, 0.032147, 0.967765, -0.309120, 0.308140, -0.636720, 0.033206, 0.322870, -0.852436
-0.348554, 0.029219, 0.947330, -0.309120, 0.308140, -0.636720, 0.030834, 0.352407, -0.852436
-0.358558, -0.002440, 0.940498, -0.312620, 0.308840, -0.635880, -0.002594, 0.364231, -0.856930
-0.359656, 0.010309, 0.937875, -0.305480, 0.308420, -0.632800, 0.010991, 0.366164, -0.846059
-0.357643, 0.008845, 0.939827, -0.307440, 0.310940, -0.638260, 0.009411, 0.363605, -0.845188
-0.361120, 0.017934, 0.940010, -0.310100, 0.313180, -0.636720, 0.019076, 0.366721, -0.845906
-0.368135, 0.015433, 0.925004, -0.310100, 0.313180, -0.636720, 0.016683, 0.378718, -0.845906
-0.372344, 0.015677, 0.923601, -0.305200, 0.312760, -0.633640, 0.016972, 0.383164, -0.838615
-0.365756, 0.029951, 0.934947, -0.310100, 0.313320, -0.631960, 0.032024, 0.372728, -0.845683
-0.375028, 0.013908, 0.935679, -0.308140, 0.316820, -0.631960, 0.014863, 0.381165, -0.836960
-0.382897, 0.014701, 0.928969, -0.307860, 0.319340, -0.626780, 0.015824, 0.390913, -0.832546
-0.376004, 0.023790, 0.929945, -0.307860, 0.319340, -0.626780, 0.025577, 0.384119, -0.832546
-0.372222, 0.028121, 0.937997, -0.309120, 0.317100, -0.633780, 0.029971, 0.377614, -0.838106
-0.365817, 0.035014, 0.948550, -0.306460, 0.319480, -0.631820, 0.036896, 0.367854, -0.830050
-0.383507, 0.044347, 0.936411, -0.304080, 0.316540, -0.627480, 0.047323, 0.388319, -0.830774
-0.395829, 0.017812, 0.929640, -0.307440, 0.318360, -0.629020, 0.019158, 0.402471, -0.833400
-0.419497, -0.004575, 0.886818, -0.307440, 0.318360, -0.629020, -0.005159, 0.441840, -0.833400
-0.412787, 0.020923, 0.903288, -0.307020, 0.321300, -0.620480, 0.023159, 0.428544, -0.828125
-0.412970, 0.023790, 0.912499, -0.312620, 0.322140, -0.630280, 0.026065, 0.424862, -0.835851
-0.411750, 0.022326, 0.917806, -0.305060, 0.321300, -0.628740, 0.024321, 0.421599, -0.824926
-0.409371, 0.025193, 0.932934, -0.305620, 0.322000, -0.624400, 0.026997, 0.413367, -0.824755
-0.407663, 0.037088, 0.937936, -0.305620, 0.322000, -0.624400, 0.039522, 0.409721, -0.824755
-0.407297, 0.038186, 0.925797, -0.308980, 0.325360, -0.630560, 0.041223, 0.414145, -0.825032
-0.439688, 0.019520, 0.908168, -0.309260, 0.331800, -0.617960, 0.021491, 0.450795, -0.815702
-0.428586, 0.035746, 0.903044, -0.317520, 0.331800, -0.622020, 0.039563, 0.442820, -0.828859
-0.437797, 0.030073, 0.922198, -0.309820, 0.329700, -0.625240, 0.032599, 0.443024, -0.819772
-0.438407, 0.030683, 0.907619, -0.309820, 0.329700, -0.625240, 0.033793, 0.449756, -0.819772
-0.455182, 0.027450, 0.901946, -0.302960, 0.330960, -0.614600, 0.030425, 0.467188, -0.806707
-0.461953, 0.025193, 0.890783, -0.307580, 0.327040, -0.615440, 0.028274, 0.478247, -0.820194
-0.453962, 0.026718, 0.901397, -0.308840, 0.326900, -0.611660, 0.029632, 0.466363, -0.822448
-0.452437, 0.040321, 0.908839, -0.310100, 0.329700, -0.612220, 0.044336, 0.461509, -0.820223
-0.461709, 0.018605, 0.898835, -0.310100, 0.329700, -0.612220, 0.020696, 0.474441, -0.820223
-0.465064, 0.033123, 0.875960, -0.301980, 0.331660, -0.613480, 0.037795, 0.487780, -0.804042
-0.459635, 0.036478, 0.896700, -0.301140, 0.336420, -0.604240, 0.040658, 0.473329, -0.795568
-0.462868, 0.035441, 0.894931, -0.302400, 0.332920, -0.613620, 0.039581, 0.477002, -0.802846
